timestamp,current_reading,maximum_reading,minimum_reading
2025-01-20 19:10:40,597,775,393
2025-01-20 19:11:26,597,775,393
2025-01-20 19:23:50,597,775,393
2025-01-20 19:23:57,597,775,393
2025-01-20 19:28:07,598,775,393
2025-01-20 19:28:21,597,775,393
2025-01-20 19:28:36,597,775,393
2025-01-20 19:28:51,598,775,393
2025-01-20 19:29:07,598,775,393
2025-01-20 19:29:22,598,775,393
