timestamp,realtime_power,cpu_power
2025-01-22 18:54:55,214,113.778496
2025-01-22 18:55:02,214,113.756952
2025-01-22 18:55:10,214,116.627908
2025-01-22 18:55:18,214,116.877050
2025-01-22 18:55:26,219,116.657130
2025-01-22 18:55:34,219,116.901122
2025-01-22 18:55:42,219,116.733087
2025-01-22 18:55:49,219,116.726126
2025-01-22 18:55:58,219,116.604277
2025-01-22 18:56:05,219,113.901399
2025-01-22 18:56:12,215,113.957455
2025-01-22 18:56:18,215,114.189752
2025-01-22 18:56:25,215,116.792988
2025-01-22 18:56:35,219,116.869137
2025-01-22 18:56:42,219,116.672916
2025-01-22 18:56:50,219,116.940468
2025-01-22 18:57:00,219,116.746752
2025-01-22 18:57:07,219,116.782188
2025-01-22 18:57:17,219,116.640615
2025-01-22 18:57:27,218,116.807201
2025-01-22 18:57:37,218,116.598660
2025-01-22 18:57:48,218,116.722733
2025-01-22 18:57:58,218,116.938296
2025-01-22 18:58:07,218,116.775621
2025-01-22 18:58:15,219,116.763949
2025-01-22 18:58:23,219,116.546305
2025-01-22 18:58:31,219,116.810844
2025-01-22 18:58:39,219,116.616277
2025-01-22 18:58:47,219,116.858511
2025-01-22 18:58:56,219,116.906796
2025-01-22 18:59:04,219,116.774640
2025-01-22 18:59:12,219,116.852180
2025-01-22 18:59:20,219,116.302572
2025-01-22 18:59:26,218,114.147027
2025-01-22 18:59:32,218,113.853578
2025-01-22 18:59:38,218,114.028803
2025-01-22 18:59:45,218,114.005553
2025-01-22 18:59:51,214,113.808179
2025-01-22 18:59:58,214,113.911615
2025-01-22 19:00:04,214,114.125850
2025-01-22 19:00:12,215,114.003774
2025-01-22 19:00:19,215,113.795983
2025-01-22 19:00:25,215,114.064595
2025-01-22 19:00:31,215,114.121829
2025-01-22 19:00:39,215,113.849612
2025-01-22 19:00:45,215,114.117497
2025-01-22 19:00:51,215,113.983462
2025-01-22 19:00:58,215,113.845171
2025-01-22 19:01:04,214,113.823926
2025-01-22 19:01:10,214,114.220471
2025-01-22 19:01:18,214,116.732163
2025-01-22 19:01:27,219,116.673688
2025-01-22 19:01:35,219,116.824036
2025-01-22 19:01:43,219,116.859424
2025-01-22 19:01:52,220,116.732593
2025-01-22 19:02:00,220,116.881142
2025-01-22 19:02:07,220,116.589564
2025-01-22 19:02:17,218,116.765337
2025-01-22 19:02:26,218,116.590421
2025-01-22 19:02:33,218,116.791019
2025-01-22 19:02:42,218,116.871982
2025-01-22 19:02:50,218,116.722767
2025-01-22 19:02:58,218,116.709015
2025-01-22 19:03:07,218,116.661221
2025-01-22 19:03:15,218,116.845210
2025-01-22 19:03:23,218,116.648482
2025-01-22 19:03:31,218,116.662173
2025-01-22 19:03:39,218,116.817164
2025-01-22 19:03:47,218,116.729718
2025-01-22 19:03:55,218,116.767358
2025-01-22 19:04:03,218,116.668538
2025-01-22 19:04:11,218,116.716275
2025-01-22 19:04:20,218,116.793293
2025-01-22 19:04:28,218,116.632480
2025-01-22 19:04:36,218,116.732595
2025-01-22 19:04:45,219,116.715511
2025-01-22 19:04:52,219,116.947183
2025-01-22 19:04:59,219,115.152945
2025-01-22 19:05:07,217,116.658849
2025-01-22 19:05:15,217,116.920347
2025-01-22 19:05:23,217,116.898026
2025-01-22 19:05:32,219,116.872470
2025-01-22 19:05:40,219,116.773693
2025-01-22 19:05:48,219,116.671040
2025-01-22 19:05:57,218,116.698884
2025-01-22 19:06:04,218,116.814816
2025-01-22 19:06:13,218,116.768905
2025-01-22 19:06:20,219,116.792428
2025-01-22 19:06:29,219,116.651889
2025-01-22 19:06:36,219,116.861748
2025-01-22 19:06:45,218,116.774224
2025-01-22 19:06:52,218,116.881157
2025-01-22 19:07:00,218,116.685840
2025-01-22 19:07:09,218,116.686283
2025-01-22 19:07:17,218,116.789772
2025-01-22 19:07:26,218,116.627753
2025-01-22 19:07:34,218,116.616258
2025-01-22 19:07:42,218,116.799901
2025-01-22 19:07:50,218,116.733145
2025-01-22 19:07:58,219,116.579261
2025-01-22 19:08:07,219,116.829584
2025-01-22 19:08:15,219,116.660470
2025-01-22 19:08:24,219,116.577012
2025-01-22 19:08:30,219,116.260066
2025-01-22 19:08:37,219,116.694117
2025-01-22 19:08:45,220,116.671285
2025-01-22 19:08:53,220,116.701130
2025-01-22 19:09:01,220,116.848813
