timestamp,realtime_power,cpu_power
2025-04-01 12:48:59,184,79.256958
2025-04-01 12:49:06,184,75.997280
2025-04-01 12:49:12,184,77.532171
2025-04-01 12:49:19,184,75.301945
2025-04-01 12:49:25,184,75.087834
2025-04-01 12:49:32,180,78.389827
2025-04-01 12:49:38,180,75.681038
2025-04-01 12:49:45,180,77.724506
2025-04-01 12:49:52,180,74.476318
2025-04-01 12:49:58,185,76.042469
2025-04-01 12:50:04,185,74.828717
2025-04-01 12:50:10,185,73.950784
2025-04-01 12:50:18,183,75.365449
2025-04-01 12:50:24,183,74.804418
2025-04-01 12:50:30,183,78.282346
2025-04-01 12:50:36,183,75.669408
2025-04-01 12:50:44,186,78.624789
2025-04-01 12:50:50,186,79.165704
2025-04-01 12:50:56,186,78.295005
2025-04-01 12:51:02,186,79.264223
2025-04-01 12:51:10,188,79.056837
2025-04-01 12:51:16,188,78.907553
2025-04-01 12:51:22,188,78.106846
2025-04-01 12:51:28,188,77.175819
2025-04-01 12:51:35,186,72.279460
2025-04-01 12:51:41,186,78.754003
2025-04-01 12:51:47,186,77.052140
2025-04-01 12:51:54,186,78.751017
2025-04-01 12:52:00,186,75.941191
2025-04-01 12:52:06,186,78.312781
2025-04-01 12:52:13,186,78.080204
